match id,team1,team1_id,team1_roster_ids,team2,team2_id,team2_roster_ids,winner,winner_id,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,winner_01,team_winp_last14,team_avg_bowling_last15,team_avg_balls_faced_last15,team_count_4runs_last15,team_count_6runs_last15,team_avg_strike_rate_last15,team_avg_runs_last15,team_runs_consistency_last15,team_rating,team_avg_win_by_runs_last_n,team_avg_win_by_wickets_last_n,team_weighted_avg_win_amount,boundary_percentage,strike_rate_consistency,avg_wicket_count,avg_economy,avg_maiden
9331181,Ba,11283,9373356.0:7857520.0:4232164.0:4566540.0:3299407.0:232000.0:7883504.0:8725723.0:7878989.0:2526390.0:8725730.0:4017523.0,Hl Ph,12634,3500958.0:4231751.0:2735081.0:2035102.0:3698337.0:5058192.0:6844718.0:4566526.0:6596582.0:4161975.0:7952804.0:8465057.0,Hl Ph,12634,Hl Ph,field,Hr Ct Sm Ie,Indore,20-10-2022,day/night match,Sd Mq Ai Ty,2022/23,7398,1.666666667,100,157.1785714,1,0.899443069,1.684595148,1.368550369,1.409090909,2.076923077,0.965880746,0.661938534,0.925927839,1.006356544,0.951219512,1.689655172,1.051522248,1.039725031,0.890492523,1.641025641,0.918697512,0.952020202
8797060,Ed,20,2089079.0:6139370.0:2076192.0:62432.0:2083409.0:172199.0:2022957.0:1482998.0:1711492.0:4507208.0:3231437.0,Wt Is,41,4690258.0:4069666.0:4230127.0:1942317.0:1613926.0:2740408.0:4739552.0:5744850.0:4690104.0:3715697.0:3468870.0,Ed,20,Wt Is,field,Kn Ol Bn Bs,Bridgetown,23-01-2022,day/night match,Ed tr of Wt Is,2021/22,1406,1.666666667,50,103.5,0,1.778534459,0.702772911,1.098184264,1.343283582,0.658536585,0.898848561,1.015998681,1.044343965,1.05297636,1.356589147,1.533333333,1.389937107,0.968076323,0.84143835,0.822429907,0.973906116,0.966806316
9433269,We,10576,3298427.0:2288789.0:7773338.0:3519011.0:3681957.0:7671313.0:5320118.0:2922611.0:7184232.0:7661996.0:6240632.0,Ne,8987,4003390.0:1749075.0:1626526.0:4172447.0:5516720.0:7328110.0:125915.0:130437.0:7507303.0:4420828.0:5652828.0,We,10576,Ne,field,Tt Be Nm,Nottingham,02-06-2023,day/night match,Vy Bt,2023,251,1.083333333,0,154.3333333,0,0.836981304,1.4740493,0.962301587,1.113207547,0.693181818,0.941388003,1.078177202,1.003827181,0.936033015,0.706122449,0.703703704,0.705812574,0.98059958,0.668826702,1.115384615,0.950756377,1.052298468
9587073,Ga An Ws,36084,8127230.0:4690328.0:4069666.0:7960847.0:4690188.0:4739580.0:4739552.0:5744850.0:2294823.0:9266102.0:284339.0,Bs Rs,36070,3462080.0:2436405.0:1798705.0:7550857.0:5742470.0:2740408.0:3575774.0:3200756.0:334963.0:6399210.0:6347494.0,Ga An Ws,36084,Ga An Ws,bat,Bn La Sm Ta Td,Tarouba,10-09-2023,day match,Cn Pr Le,2023,14300,0.75,50,144.25,0,1,0.87980344,1.11235171,0.888888889,1.165217391,1.012950971,0.973697025,0.906604752,1.045253576,1.303030303,0.694915254,1.214549938,0.995573334,0.989524313,0.818965517,0.97275894,0.995547556
9516457,Pb Ks,30407,8127181.0:197658.0:4239038.0:2398346.0:5053082.0:4640824.0:5038046.0:8180500.0:2035102.0:3851518.0:7881845.0:7453697.0,Gt Ts,48341,1958683.0:7491224.0:8059029.0:4377610.0:2252452.0:2966879.0:5554254.0:4690230.0:3373285.0:3759846.0:6496482.0,Gt Ts,48341,Gt Ts,field,Pb Ct An IS Ba Sm Mi Ch,Chandigarh,13-04-2023,night match,In Pr Le,2023,7118,1.25,0,189,1,0.827851346,0.956634347,0.991812865,0.861538462,2.015873016,1.21125386,0.897289819,0.972649643,1.040418315,1.389705882,0.833333333,1.283730159,0.992196411,1.34923052,1.1,1.015837571,1.044850498
9457412,Ka Ts,42573,393371.0:1594347.0:9470873.0:7960847.0:4403426.0:2614779.0:305143.0:4403503.0:4731628.0:2436356.0:2436776.0,Cm Cs,40424,7864009.0:4502392.0:6551978.0:2820957.0:2804122.0:3125506.0:8072056.0:7084972.0:2875354.0:6149268.0:393182.0,Cm Cs,40424,Cm Cs,field,Se Ba Nl Sm Mr,Dhaka,09-01-2023,night match,Bh Pr Le,2022/23,14188,1.25,50,147.9333333,1,1.108292683,2.304783824,1.635789474,2.102564103,3.176470588,1.191070077,1.012275986,1.011055605,0.974671956,0.422535211,2.333333333,0.658436214,1.05992523,1.264203854,2.075,0.855924991,1.044117647
9292548,Aa,27,7537004.0:37351.0:1870357.0:2275195.0:4635658.0:6249256.0:1611364.0:5788320.0:3429236.0:2656541.0:2018001.0,Ia,55,2954769.0:238727.0:1776627.0:3125562.0:4377610.0:210328.0:3882850.0:2733380.0:2282125.0:4377694.0:3011735.0,Ia,55,Ia,field,Rv Gi Il Sm Ul Hd,Hyderabad,25-09-2022,night match,Aa tr of Ia,2022,13880,0.416666667,50,,1,1.218716496,0.668421448,0.682532751,0.636054422,0.816,0.999580099,0.844966446,0.939693544,0.699147617,0.204615385,0.988764045,0.270206767,0.9976384,1.214621089,0.936842105,1.048808411,0.96
9271758,Ja Ks,47501,6818622.0:5490596.0:6551978.0:4403545.0:298612.0:1634611.0:3162487.0:8067002.0:7968225.0:8072056.0:4403573.0,Ge Gs,47494,6517118.0:4403531.0:4932864.0:2214792.0:7520344.0:3364234.0:1594319.0:305143.0:2270519.0:3008179.0:6686658.0,Ja Ks,47501,Ja Ks,bat,R Pa Sm Co,Colombo,18-12-2022,day match,La Pr Le,2022/23,7041,2.25,40,129.9333333,0,1.60123119,1.214712919,1.350694444,1.345238095,2.022222222,0.990316751,0.981685491,1.035273894,1.087489779,1.477386935,1.947368421,1.505511811,1.000058755,,1.023255814,0.8964531,0.97566252
9331048,Hl Ph,12634,3500958.0:4231751.0:2735081.0:3698337.0:5058192.0:2035102.0:6844718.0:8228296.0:4566526.0:6596582.0:8465057.0:4161975.0,Sa,14860,9098571.0:227793.0:5977026.0:8442244.0:1663885.0:4192558.0:6698110.0:9009265.0:3691547.0:2733401.0:4141556.0:6785582.0,Hl Ph,12634,Sa,field,Hr Ct Sm Ie,Indore,18-10-2022,day/night match,Sd Mq Ai Ty,2022/23,7398,0.25,0,157.6923077,0,0.868574683,2.48774408,0.533426184,0.443298969,0.25,0.74018001,0.830188679,0.672892049,0.897456071,0.452674897,1.16,0.498074454,0.94539634,0.88769852,1.25,0.899360458,1.148148148
9123162,Id,216,2124002.0:2123974.0:7695666.0:6729862.0:6496412.0:2436251.0:3685100.0:2921680.0:2550414.0:6496482.0:8609684.0,Ia,55,3479860.0:5043310.0:3125562.0:4377610.0:210328.0:7422673.0:3882850.0:2282125.0:4859490.0:3011735.0:8725709.0,Ia,55,Ia,field,Te Ve Me Dn,Dublin,26-06-2022,day match,Ia tr of Id,2022,6831,0.3125,0,148.5,1,0.730677391,0.697681367,0.646003263,0.571428571,0.531914894,0.914006417,0.890286423,0.834029305,0.837831759,0.478971963,0.59375,0.489376771,0.970682392,0.848523007,0.654867257,0.947970142,0.952830189
